round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
74,MTF BB 3-Sigma Stretch Fade,8560,-57.89,-25.01,0.469,0.756,-1.71,31.36,REJECT
75,MTF Keltner 2-ATR Dip Bounce,4365,-58.42,-89.91,0.409,0.733,-1.51,15.99,REJECT
76,MTF Connors RSI3 Dip in 1d Bull,6346,-31.17,-38.03,0.444,0.808,-1.12,23.25,REJECT
77,MTF RSI<25 + Volume Climax,2813,-81.96,-37.29,0.458,0.688,-0.86,10.3,REJECT
78,MTF Williams %R Oversold Snap,4563,-43.18,-70.71,0.434,0.807,-1.14,16.71,REJECT
79,MTF CCI Oversold Snapback,345,7.61,-28.03,0.472,1.046,0.15,1.26,REJECT
80,MTF Distance from 4h EMA Stretch,31745,-21.13,2.94,0.503,0.912,-0.9,116.28,REJECT
81,MTF BB+RSI Double Exhaustion,8246,-67.93,-11.84,0.487,0.726,-1.5,30.21,REJECT
82,MTF MFI+RSI Deep Capitulation,171,-51.36,-52.04,0.444,0.787,-0.65,0.63,REJECT
83,MTF Pin Bar at 24h Low,3709,-68.85,-112.83,0.394,0.696,-1.81,13.59,REJECT
84,MTF 6 Down-Bars in 1d Bull,1888,-22.86,-9.97,0.489,0.86,-0.7,6.92,REJECT
85,MTF RSI Dip + SL/TP (1:2),290,-30.39,-220.0,0.334,0.788,-0.64,1.06,REJECT
86,MTF RSI>75 Short in 1d Bear,1912,-200.81,-91.3,0.398,0.403,-2.05,7.0,REJECT
87,MTF BB Upper Reject in 4h Bear,2018,12.64,35.54,0.551,1.072,0.34,7.39,REJECT
88,MTF Chop-Gated BB Fade,9682,-22.25,-20.0,0.472,0.872,-1.33,35.47,REJECT
89,MTF RSI Bullish Divergence,160,-103.21,-132.48,0.412,0.562,-1.29,0.59,REJECT
90,MTF CMF<-0.25 Snap in 1d Bull,1260,-33.67,-41.68,0.473,0.845,-0.64,4.62,REJECT
91,Top-Trader LS Div Accumulation,6476,-21.2,-61.32,0.449,0.913,-0.48,23.72,REJECT
92,Top-Trader LS Surge + Taker Flow,3064,-82.96,-43.4,0.461,0.72,-1.34,11.22,REJECT
93,Taker Buy 4h Surge >65%,70,-5.37,-35.85,0.429,0.962,-0.1,0.26,REJECT
94,Taker Climax Exhaustion Fade,6,35.92,-56.01,0.333,1.697,0.5,0.02,REJECT
95,Quote Vol Breakout + 4h Trend,6543,-42.84,-99.27,0.421,0.856,-0.92,23.97,REJECT
96,Retail Count Frenzy Fade,7,-1858.27,55.19,0.571,0.083,-1.11,0.03,REJECT
97,Inst Block Flow Follow,220,85.47,-23.34,0.473,1.464,1.37,0.81,REJECT
98,Taker Flow 3-Bar Persistence,587,9.86,-16.33,0.48,1.069,0.36,2.15,REJECT
99,RVOL 5x Explosion Breakout,3723,22.89,-9.14,0.491,1.09,0.47,13.64,REJECT
100,Top-Trader LS 24h Delta Mom,14158,-11.44,-26.9,0.475,0.953,-0.46,51.86,REJECT
101,Top-Trader Short Squeeze Hunter,164,89.85,-23.93,0.463,1.415,1.09,0.6,REJECT
102,Volume Climax Absorption Pin,824,191.48,-0.39,0.5,2.073,0.89,3.02,REJECT
103,Low-Vol Breakout Fade Short,748,56.59,56.06,0.552,1.399,0.75,2.74,REJECT
104,Heavy Sell Volume Trap Reclaim,130,126.08,-24.78,0.477,1.592,0.94,0.48,REJECT
105,Taker Flow Reversal in Oversold,73,0.27,60.29,0.534,1.001,0.0,0.27,REJECT
106,Taker Surge + ATR Expansion,296,64.56,44.35,0.534,1.493,1.47,1.08,REJECT
107,Top-Trader + 4h SuperTrend Bull,10393,-68.19,-79.85,0.434,0.756,-1.78,38.07,REJECT
108,Top-Trader + 4h SuperTrend Bear,311,-153.43,-46.93,0.463,0.54,-2.56,1.14,REJECT
109,Volume Surge 50-EMA Breakout,1587,-7.18,-44.13,0.459,0.971,-0.16,5.81,REJECT
110,Volume Weighted Momentum Thrust,8218,-4.44,-61.74,0.452,0.984,-0.1,30.1,REJECT
111,BBW 7d Compression Breakout,3882,-29.57,-27.54,0.473,0.874,-0.7,14.22,REJECT
112,ATR Ratio Compression Break,182,-48.75,-44.32,0.451,0.815,-0.71,0.67,REJECT
113,HV24 Pinch into Expansion,953,-3.06,-32.44,0.481,0.989,-0.05,3.49,REJECT
114,CHOP<38 Trend Momentum Cross,603,-127.22,-156.55,0.38,0.638,-2.07,2.21,REJECT
115,CHOP>62 Range Boundary Fade,60,-28.31,-72.98,0.433,0.86,-0.31,0.22,REJECT
116,ADX Compression Hook Breakout,2351,-35.17,-39.3,0.467,0.859,-0.99,8.61,REJECT
117,TTM Squeeze Release + 4h ST,4990,-33.54,-44.01,0.462,0.859,-0.89,18.28,REJECT
118,NATR 2.5x Spike Capitulation Snap,172,941.92,1187.16,0.779,7.818,1.03,0.63,REJECT
119,4h Vol Compression + 1h Donchian,5693,15.08,-21.13,0.487,1.054,0.32,20.85,REJECT
120,High-Vol Breakout + SL/TP (2:4),20337,-7.75,-270.0,0.362,0.953,-0.53,74.49,REJECT
121,Low-Vol Drift Trend Follow,12362,-42.31,-54.8,0.455,0.857,-1.26,45.28,REJECT
122,Donchian Break + Dynamic TP/SL,29621,0.46,-320.0,0.376,1.002,0.03,108.5,REJECT
123,Solid Marubozu Vol Expansion,9535,25.89,-21.9,0.479,1.121,0.7,34.93,REJECT
124,GK Vol Spike Exhaustion Rebound,179,-117.54,-150.52,0.307,0.465,-1.25,0.66,REJECT
125,NR7 Range Expansion Breakout,11847,-5.29,-31.13,0.469,0.974,-0.25,43.4,REJECT
126,Vol Pinch + Pre-Vol Building,1880,-40.93,-59.34,0.445,0.818,-1.09,6.89,REJECT
127,Dual 4h/1h MTF Squeeze Break,2104,64.89,40.87,0.533,1.312,1.54,7.71,PASS_TRAIN
128,ATR + Volume Surge Momentum,4136,-35.32,-76.57,0.448,0.888,-0.71,15.15,REJECT
129,Vol-Adjusted Return Spike Follow,4440,7.33,-20.0,0.483,1.028,0.13,16.26,REJECT
130,Regime-Filtered 20-EMA Cross,3336,-56.04,-62.54,0.446,0.794,-1.69,12.22,REJECT
131,FR Cum72h < -0.3% Long Rebound,5543,-1.88,-51.11,0.451,0.992,-0.07,20.3,REJECT
132,FR Cum72h > +0.3% Short Exhaust,18530,36.19,17.19,0.515,1.167,1.13,67.88,REJECT
133,FR 8h Delta Momentum Follow,4666,-19.76,-51.31,0.456,0.929,-0.72,17.09,REJECT
134,"Spot-Led Rally (Price Up, FR<=0)",3156,-22.83,-96.89,0.42,0.922,-0.56,11.56,REJECT
135,FR<-0.05% Short Squeeze Break,299,-19.79,-187.74,0.381,0.95,-0.28,1.1,REJECT
136,FR>+0.08% Long Flush Breakdown,37,-238.64,-106.98,0.351,0.578,-0.9,0.14,REJECT
137,FR MA Cross + 4h Trend,19867,-38.82,-50.59,0.454,0.845,-1.91,72.77,REJECT
138,Multi-Settlement FR Short (Filtered),36,305.13,75.54,0.611,3.597,1.78,0.13,REJECT
139,FR 14d Z-Score Mean Reversion,2295,-60.9,0.55,0.501,0.794,-0.97,8.41,REJECT
140,High-FR Alt Short in Macro Bear,124,-20.81,-39.3,0.452,0.939,-0.17,0.45,REJECT
141,FR Zero-Cross Momentum Burst,2973,-31.89,-59.54,0.442,0.877,-0.7,10.89,REJECT
142,FR Extreme Spike Decay Fade,16,466.82,-44.45,0.438,2.972,1.19,0.06,REJECT
143,FR-Discount Trend Following,16835,-1.58,-30.38,0.476,0.994,-0.05,61.67,REJECT
144,FR Volatility-Normalized Stretch,2718,-7.45,-50.92,0.433,0.966,-0.31,9.96,REJECT
145,FR Capitulation Rebound Long,64,208.95,182.68,0.594,1.969,1.15,0.23,REJECT
146,FR Dislocation + ATR SL/TP,96,-24.5,-270.0,0.344,0.858,-0.55,0.35,REJECT
147,FR 5-Period Exhaustion Short,44,257.02,76.78,0.659,2.39,1.58,0.16,REJECT
148,FR Trend-Aligned Carry Bias,1218,1.53,-115.56,0.443,1.004,0.03,4.46,REJECT
149,FR Bullish Divergence at Lows,2275,21.16,28.58,0.523,1.087,0.39,8.33,REJECT
150,FR Extreme + 4h SuperTrend,1156,7.1,-104.07,0.42,1.022,0.2,4.23,REJECT
151,OI Surge + Price Breakout Follow,2709,27.35,-114.45,0.434,1.079,0.36,9.92,REJECT
152,OI Absorption Coiled Spring Break,14,59.79,-15.32,0.5,1.22,0.27,0.05,REJECT
153,OI Collapse Cascade Continuation,587,-493.86,-212.31,0.348,0.313,-1.09,2.15,REJECT
154,OI Flush Climax Snapback Long,53,1416.12,1502.25,0.887,24.389,1.02,0.19,REJECT
155,OI 7d Expansion + Trend Consensus,5716,-33.7,-132.04,0.416,0.901,-0.72,20.94,REJECT
156,OI Bearish Divergence at Highs,66,184.56,165.59,0.636,1.892,1.44,0.24,REJECT
157,OI Bullish Accumulation at Lows,81,-162.03,-15.55,0.494,0.709,-0.97,0.3,REJECT
158,OI Build + Negative FR Squeeze,809,8.34,-152.77,0.405,1.023,0.18,2.96,REJECT
159,OI Build + Positive FR Long Squeeze,75,48.68,11.43,0.507,1.118,0.31,0.27,REJECT
160,Post-Flush Stabilization Reclaim,1279,-15.56,-87.47,0.431,0.942,-0.34,4.68,REJECT
161,Top-Trader + OI Joint Expansion,5279,-42.19,-112.73,0.423,0.865,-0.76,19.34,REJECT
162,OI Velocity Spike Follow,15516,-11.98,-28.68,0.474,0.948,-0.47,56.84,REJECT
163,OI Breakout + Tight SL/TP,19431,-7.29,-270.0,0.372,0.954,-0.68,71.18,REJECT
164,OI 7d ATH Rejection Short,786,-18.11,-27.52,0.452,0.912,-0.5,2.88,REJECT
165,Fast 1h OI Flush Snapback,2,2172.46,2172.46,1.0,999.0,2.34,0.01,REJECT
166,Coiled Spring Low-Vol OI Break,838,-126.67,-160.71,0.405,0.656,-1.78,3.07,REJECT
167,OI/Turnover Ratio Spike,13334,-19.32,-27.73,0.474,0.911,-0.87,48.84,REJECT
168,Persistent 20h OI Inflow Trend,4692,16.09,-62.33,0.453,1.064,0.28,17.19,REJECT
169,Post-Flush Bottom + Dynamic SL/TP,519,92.41,-320.0,0.461,1.54,0.88,1.9,REJECT
170,OI Mom + 4h SuperTrend Cross,6373,-64.08,-65.86,0.45,0.785,-2.17,23.34,REJECT
171,MTF Fair Value Gap (FVG) Retest,3447,6.23,-21.88,0.478,1.031,0.18,12.63,REJECT
172,Break of Structure (BOS) + 4h,20690,-7.41,-36.35,0.471,0.97,-0.27,75.79,REJECT
173,Liquidity Sweep Judas Swing,9975,-38.46,-20.6,0.477,0.81,-1.47,36.54,REJECT
174,PDH/PDL Sweep Reversal,31209,-44.93,-23.76,0.468,0.752,-2.94,114.32,REJECT
175,EQH Liquidity Grab Breakout,729,-33.92,-39.84,0.45,0.848,-0.67,2.67,REJECT
176,London Session Sweep Reclaim,4670,-77.48,-48.11,0.43,0.594,-2.13,17.11,REJECT
177,Inside Bar Breakout + 4h Trend,23763,-15.43,-25.75,0.472,0.926,-0.81,87.04,REJECT
178,Engulfing Bar + 4h Trend,22357,-31.74,-42.58,0.456,0.855,-1.84,81.89,REJECT
179,Pin Bar Rejection at 50 EMA,4456,-59.5,-82.88,0.423,0.74,-1.76,16.32,REJECT
180,Swing Failure Pattern (SFP) 48h,3935,-30.77,-3.68,0.498,0.87,-0.78,14.41,REJECT
181,NR4 Volatility Expansion Break,33274,-9.26,-25.78,0.474,0.954,-0.52,121.88,REJECT
182,Wide Range Bar Follow Through,1175,-74.06,-105.19,0.414,0.778,-0.8,4.3,REJECT
183,Tight Box (<3%) Breakout,1472,-0.66,-20.0,0.47,0.995,-0.02,5.39,REJECT
184,3-Bar Higher Lows 4h Trend,11295,-51.92,-55.23,0.446,0.784,-1.89,41.37,REJECT
185,Price Action Channel (PAC) Break,27562,-47.02,-61.5,0.446,0.813,-2.37,100.96,REJECT
186,Extreme Wick Exhaustion Fade,4408,-10.29,-10.51,0.486,0.94,-0.37,16.15,REJECT
187,Triangle Compression Breakout,1983,-22.89,-66.98,0.447,0.905,-0.58,7.26,REJECT
188,FVG + Donchian Confluence,812,-39.95,-95.16,0.417,0.841,-0.66,2.97,REJECT
189,SFP Reversal + Dynamic SL/TP,2164,-9.13,-270.0,0.385,0.942,-0.42,7.93,REJECT
190,24h Break + 4h ST + SL/TP,26000,-3.85,-320.0,0.371,0.98,-0.25,95.24,REJECT
191,XS 24h Momentum Top/Bottom 10%,8660,-10.12,-30.35,0.472,0.966,-0.92,31.72,REJECT
192,XS 7d Mom Leader Dip Buyer,1069,-25.11,-37.72,0.473,0.906,-0.65,3.92,REJECT
193,XS Volume Share Surge Leaders,1330,-44.14,-112.7,0.426,0.866,-1.22,4.87,REJECT
194,XS Vol-Adjusted Momentum Spread,8651,-9.1,-23.39,0.475,0.966,-1.01,31.69,REJECT
195,XS Top-Trader LS Factor Spread,8658,-18.55,0.88,0.501,0.928,-2.07,31.71,REJECT
196,XS Funding Rate Carry Spread,8656,-11.68,-32.8,0.468,0.952,-1.54,31.71,REJECT
197,XS Low-Volatility Anomaly,8533,-13.5,11.85,0.513,0.951,-0.75,31.26,REJECT
198,XS OI 24h Growth Spread,8689,-23.31,-22.41,0.48,0.92,-2.6,31.83,REJECT
199,XS 24h Mean Reversion Spread,8660,-29.76,-9.0,0.494,0.903,-2.71,31.72,REJECT
200,XS Price Acceleration Factor,8660,-12.11,-20.0,0.482,0.96,-1.05,31.72,REJECT
201,XS Multi-Factor Composite Spread,8652,-22.18,-37.86,0.471,0.926,-2.09,31.69,REJECT
202,XS Long-Only Mom in 1d Bull,510,3.28,-94.74,0.425,1.01,0.05,1.87,REJECT
203,XS Short-Only Laggards in 1d Bear,355,22.96,-14.17,0.493,1.082,0.37,1.3,REJECT
204,XS 48h Momentum 48h Rebalance,4330,-7.49,-41.52,0.474,0.982,-0.35,15.86,REJECT
205,XS Turnover Velocity Factor,1360,-76.36,-206.89,0.388,0.828,-1.58,4.98,REJECT
206,XS Low-Beta 7d Safe Havens,178,-28.55,-20.0,0.483,0.897,-0.45,0.65,REJECT
207,XS High-Beta Laggard Catch-Up,1031,-70.31,-86.01,0.435,0.774,-1.77,3.78,REJECT
208,XS 24h Mom + SL/TP (3:6),3079,-7.72,-320.0,0.361,0.961,-0.55,11.28,REJECT
209,XS Quintile Momentum Spread,17332,-17.56,-27.57,0.472,0.935,-2.28,63.49,REJECT
210,XS Mom Filtered by BTC 4h Trend,4330,-6.25,-28.35,0.475,0.98,-0.17,15.86,REJECT
211,BTC 4h Bull Gated Alt Breakout,15908,11.9,-20.0,0.485,1.049,0.33,58.27,REJECT
212,BTC Low-Vol Calm Alt Breakout,19981,4.17,-26.03,0.479,1.018,0.15,73.19,REJECT
213,BTC 24h Surge Alt Momentum Follow,5423,-44.06,-134.75,0.411,0.849,-0.57,19.86,REJECT
214,BTC 6% Overextension Alt Fade,595,-65.43,131.8,0.58,0.793,-0.3,2.18,REJECT
215,ETH/BTC Altseason Breakout Gating,7234,-32.49,-69.92,0.447,0.88,-0.61,26.5,REJECT
216,BTC Capitulation Spillover Snap,813,49.23,26.27,0.524,1.3,0.46,2.98,REJECT
217,Alt Relative Strength in BTC Chop,3114,-72.32,-115.43,0.425,0.777,-1.3,11.41,REJECT
218,Alt Relative Weakness Short,4802,-14.87,-48.72,0.456,0.942,-0.19,17.59,REJECT
219,BTC FR Regime Transmission,3689,-49.73,-57.98,0.436,0.827,-0.55,13.51,REJECT
220,Market Breadth Gated EMA Cross,24346,-43.08,-48.22,0.454,0.824,-1.61,89.18,REJECT
221,Alt Market Breadth Thrust Follow,4878,0.44,-99.52,0.441,1.001,0.0,17.87,REJECT
222,BTC Taker Flow Spillover Follow,8675,15.94,-23.59,0.465,1.102,0.42,31.78,REJECT
223,BTC+Alt Dual SuperTrend Break,13493,-11.85,-53.95,0.456,0.953,-0.28,49.42,REJECT
224,BTC Macro 100d Filter MA Cross,15959,-28.93,-71.64,0.432,0.876,-0.85,58.46,REJECT
225,Beta-Residual Breakout Long,9115,-24.81,-96.22,0.428,0.917,-0.57,33.39,REJECT
226,BTC Dump Rebound Leader,1308,199.82,127.2,0.573,1.95,0.95,4.79,REJECT
227,High Alt Dispersion Breakout,3347,51.66,-7.32,0.493,1.217,0.6,12.26,REJECT
228,Weekend Alt Momentum Breakout,6518,30.19,-5.41,0.496,1.13,0.54,23.88,REJECT
229,BTC OI Inflow Alt Breakout,2321,-8.04,-65.6,0.457,0.973,-0.06,8.5,REJECT
230,BTC Bull + Alt Break + SL/TP,2723,-7.07,-320.0,0.369,0.963,-0.13,9.97,REJECT
231,Hybrid: Taker Surge+ATR+BTC Bull,216,87.6,61.8,0.551,1.674,1.5,0.79,PASS_TRAIN
232,Hybrid: TT Long+Vol+4h Break,4030,-15.3,-80.04,0.433,0.943,-0.26,14.76,REJECT
233,Hybrid: 1d Bull+FR Discount+Break,2236,-34.17,-71.65,0.452,0.884,-0.65,8.19,REJECT
234,Hybrid: OI Flush+TT Rebound,120,1620.18,2060.59,0.783,9.922,0.95,0.44,REJECT
235,Hybrid: FVG+4h ST+Low FR,3491,-13.01,-73.12,0.439,0.947,-0.33,12.79,REJECT
236,Hybrid: XS Leader 20-EMA Dip Reclaim,1657,-85.38,-134.21,0.422,0.782,-1.09,6.07,REJECT
237,Hybrid: Short Squeeze Triple Trigger,369,35.04,-152.77,0.404,1.09,0.48,1.35,REJECT
238,Hybrid: Trend Dip + Dynamic SL/TP,379,-0.86,-270.0,0.409,0.994,-0.02,1.39,REJECT
239,Hybrid: Vol + OI Dual Confirmation,2767,7.57,-118.04,0.422,1.022,0.11,10.14,REJECT
240,Hybrid: CMF Flow + 4h ST Cross,8038,-45.77,-56.18,0.449,0.815,-1.48,29.44,REJECT
241,Hybrid: Keltner Break + ADX>25,23125,-5.59,-33.34,0.472,0.977,-0.2,84.71,REJECT
242,Hybrid: Smart Money Long Divergence,1905,22.72,-23.65,0.477,1.117,0.47,6.98,REJECT
243,Hybrid: High-Beta Alt + BTC Protection,5866,-8.24,-64.92,0.449,0.972,-0.12,21.49,REJECT
244,Hybrid: Donchian + ATR SL/TP (2:4),20180,-21.43,-220.0,0.333,0.853,-2.0,73.92,REJECT
245,Hybrid: 3-of-4 Confluence Consensus,17986,-64.02,-66.76,0.438,0.756,-2.06,65.88,REJECT
246,Hybrid: Multi-Factor Composite >=4.0,14288,-42.92,-71.89,0.44,0.837,-1.3,52.34,REJECT
247,Hybrid: Multi-Factor + BTC Bull Gate,12029,-29.54,-57.96,0.45,0.883,-0.77,44.06,REJECT
248,Hybrid: Regime-Switching Dual Arm,11265,-9.59,-29.73,0.466,0.956,-0.31,41.26,REJECT
249,Hybrid: Conviction Breakout + SL/TP,212,9.98,-70.44,0.462,1.08,0.37,0.78,REJECT
250,Master MTF 1d/4h/1h Consensus,5024,-64.06,-84.02,0.405,0.733,-1.68,18.4,REJECT
