round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
251,DualSq 1.5x Keltner mult=1.0 H=12,4225,15.78,5.58,0.509,1.1,0.71,15.48,REJECT
252,DualSq 1.5x Keltner mult=1.0 H=24,3758,34.18,8.54,0.508,1.153,1.07,13.77,REJECT
253,DualSq 1.5x Keltner mult=1.0 H=36,3411,59.58,10.7,0.508,1.212,1.39,12.49,REJECT
254,DualSq 1.5x Keltner mult=1.25 H=12,3188,28.43,12.62,0.52,1.183,1.08,11.68,REJECT
255,DualSq 1.5x Keltner mult=1.25 H=24,2996,51.96,32.84,0.523,1.246,1.42,10.97,REJECT
256,DualSq 1.5x Keltner mult=1.25 H=36,2780,82.56,29.04,0.518,1.311,1.65,10.18,PASS_TRAIN
257,DualSq 1.5x Keltner mult=1.5 H=12,2166,54.08,35.38,0.544,1.359,1.64,7.93,PASS_TRAIN
258,DualSq 1.5x Keltner mult=1.5 H=24,2104,64.89,40.87,0.533,1.312,1.54,7.71,PASS_TRAIN
259,DualSq 1.5x Keltner mult=1.5 H=36,2009,96.0,51.09,0.53,1.378,1.73,7.36,PASS_TRAIN
260,DualSq 1.5x Keltner mult=1.75 H=12,1317,61.04,63.09,0.582,1.387,1.5,4.82,PASS_TRAIN
261,DualSq 1.5x Keltner mult=1.75 H=24,1304,65.25,70.22,0.552,1.308,1.36,4.78,REJECT
262,DualSq 1.5x Keltner mult=1.75 H=36,1262,90.3,83.62,0.541,1.348,1.37,4.62,REJECT
263,DualSq 1.5x Keltner mult=2.0 H=12,798,63.18,72.0,0.584,1.375,1.21,2.92,REJECT
264,DualSq 1.5x Keltner mult=2.0 H=24,796,55.43,74.19,0.554,1.253,0.96,2.92,REJECT
265,DualSq 1.5x Keltner mult=2.0 H=36,789,90.08,111.51,0.553,1.338,1.17,2.89,REJECT
266,DualSq + 4h 50EMA Bull H=18,1326,143.27,116.97,0.608,1.933,2.47,4.86,PASS_TRAIN
267,DualSq + 4h 50EMA Bull H=24,1298,120.54,94.89,0.579,1.668,2.41,4.75,PASS_TRAIN
268,DualSq + 1d 100SMA Bull H=18,1145,148.01,119.47,0.609,2.014,2.27,4.19,PASS_TRAIN
269,DualSq + 1d 100SMA Bull H=24,1119,121.98,107.03,0.587,1.699,2.19,4.1,PASS_TRAIN
270,DualSq + BTC 4h Bull Gate H=18,1257,142.72,104.94,0.605,1.877,2.13,4.6,PASS_TRAIN
271,DualSq + BTC 4h Bull Gate H=24,1237,140.14,90.7,0.578,1.758,2.16,4.53,PASS_TRAIN
272,DualSq + Dual 4h + BTC Bull Gate H=18,1280,157.41,126.5,0.621,2.117,2.63,4.69,PASS_TRAIN
273,DualSq + Dual 4h + BTC Bull Gate H=24,1254,140.88,114.14,0.592,1.843,2.71,4.59,PASS_TRAIN
274,DualSq + 1d+4h Macro Bull H=18,1180,132.69,115.62,0.604,1.874,2.07,4.32,PASS_TRAIN
275,DualSq + 1d+4h Macro Bull H=24,1154,111.75,106.27,0.581,1.623,2.02,4.23,PASS_TRAIN
276,DualSq + Vol>1.2x H=18,1755,96.09,68.34,0.565,1.548,2.02,6.43,PASS_TRAIN
277,DualSq + Vol>1.2x H=24,1730,66.51,57.23,0.539,1.321,1.56,6.34,PASS_TRAIN
278,DualSq + Vol>1.5x H=18,1450,102.4,73.17,0.57,1.592,2.07,5.31,PASS_TRAIN
279,DualSq + Vol>1.5x H=24,1431,64.8,62.31,0.544,1.31,1.46,5.24,REJECT
280,DualSq + Vol>2.0x H=18,1007,92.58,79.14,0.569,1.506,1.74,3.69,PASS_TRAIN
281,DualSq + Vol>2.0x H=24,998,53.72,68.8,0.543,1.249,1.09,3.66,REJECT
282,DualSq + Vol>2.5x H=18,696,82.69,89.89,0.572,1.41,1.34,2.55,REJECT
283,DualSq + Vol>2.5x H=24,694,35.45,71.47,0.549,1.153,0.66,2.54,REJECT
284,DualSq + Vol>3.0x H=18,459,91.24,100.87,0.571,1.424,1.2,1.68,REJECT
285,DualSq + Vol>3.0x H=24,458,49.26,87.79,0.555,1.207,0.8,1.68,REJECT
286,DualSq + Taker>55% H=18,1016,98.62,79.97,0.582,1.628,1.73,3.72,PASS_TRAIN
287,DualSq + Taker>55% H=24,1006,73.36,57.54,0.553,1.405,1.59,3.68,PASS_TRAIN
288,DualSq + Taker>60% H=18,291,120.59,74.22,0.584,1.919,1.53,1.07,PASS_TRAIN
289,DualSq + Taker>60% H=24,288,102.18,45.33,0.559,1.686,1.63,1.05,PASS_TRAIN
290,DualSq + Taker>65% H=18,59,217.13,105.79,0.678,4.529,2.37,0.22,PASS_TRAIN
291,DualSq + Taker>65% H=24,58,237.51,169.39,0.69,4.69,2.5,0.21,PASS_TRAIN
292,DualSq + Taker>70% H=18,12,106.59,40.04,0.5,3.976,1.24,0.04,REJECT
293,DualSq + Taker>70% H=24,12,106.5,16.71,0.5,4.008,1.25,0.04,REJECT
294,DualSq + Taker>75% H=18,3,48.46,104.94,0.667,2.126,0.53,0.01,REJECT
295,DualSq + Taker>75% H=24,3,120.82,98.48,0.667,5.461,0.98,0.01,REJECT
296,BBW LB=168 pinch=1.05 Break,2268,-28.12,-27.17,0.474,0.88,-0.61,8.31,REJECT
297,BBW LB=168 pinch=1.15 Break,3882,-29.57,-27.54,0.473,0.874,-0.7,14.22,REJECT
298,BBW LB=168 pinch=1.25 Break,5130,-29.69,-27.76,0.474,0.875,-0.75,18.79,REJECT
299,BBW LB=336 pinch=1.05 Break,1267,-41.98,-39.9,0.446,0.825,-0.72,4.64,REJECT
300,BBW LB=336 pinch=1.15 Break,2279,-39.1,-35.29,0.455,0.835,-0.73,8.35,REJECT
301,BBW LB=336 pinch=1.25 Break,3189,-33.07,-30.99,0.464,0.857,-0.68,11.68,REJECT
302,BBW LB=720 pinch=1.05 Break,653,-33.23,-34.72,0.452,0.85,-0.57,2.39,REJECT
303,BBW LB=720 pinch=1.15 Break,1227,-4.67,-24.9,0.465,0.978,-0.09,4.49,REJECT
304,BBW LB=720 pinch=1.25 Break,1881,-9.56,-20.0,0.473,0.954,-0.19,6.89,REJECT
305,BBW Compression Variant 305,1922,1.58,-4.82,0.493,1.009,0.03,7.04,REJECT
306,ATR Ratio 14/72 <0.65 Break,89,14.18,-16.11,0.472,1.063,0.17,0.33,REJECT
307,ATR Ratio 14/72 <0.7 Break,235,-57.93,-104.61,0.383,0.796,-0.8,0.86,REJECT
308,ATR Ratio 14/72 <0.75 Break,543,-17.32,-71.42,0.425,0.93,-0.33,1.99,REJECT
309,ATR Ratio 14/72 <0.8 Break,967,-59.18,-85.28,0.414,0.781,-1.17,3.54,REJECT
