round,name,n_tr,mean_bp_tr,med_bp_tr,win_tr,pf_tr,day_t_tr,per_day_tr,status_tr,n_va,mean_bp_va,med_bp_va,win_va,pf_va,day_t_va,per_day_va,status_va
204,XS 48h Momentum 48h Rebalance,4330,-7.49,-41.52,0.474,0.982,-0.35,15.86,REJECT,1440,-47.7,-20.0,0.447,0.847,-1.52,16.0,REJECT
205,XS Turnover Velocity Factor,1360,-76.36,-206.89,0.388,0.828,-1.58,4.98,REJECT,450,-112.83,-164.83,0.382,0.677,-2.11,5.0,REJECT
206,XS Low-Beta 7d Safe Havens,178,-28.55,-20.0,0.483,0.897,-0.45,0.65,REJECT,65,-20.0,-20.0,0.0,0.0,0.0,0.72,REJECT
207,XS High-Beta Laggard Catch-Up,1031,-70.31,-86.01,0.435,0.774,-1.77,3.78,REJECT,375,-114.81,-172.12,0.341,0.572,-2.17,4.17,REJECT
208,XS 24h Mom + SL/TP (3:6),3079,-7.72,-320.0,0.361,0.961,-0.55,11.28,REJECT,1053,-5.57,-320.0,0.366,0.97,-0.29,11.7,REJECT
209,XS Quintile Momentum Spread,17332,-17.56,-27.57,0.472,0.935,-2.28,63.49,REJECT,5760,-37.52,-20.0,0.445,0.822,-3.62,64.0,REJECT
210,XS Mom Filtered by BTC 4h Trend,4330,-6.25,-28.35,0.475,0.98,-0.17,15.86,REJECT,1440,-27.9,-20.0,0.478,0.881,-0.63,16.0,REJECT
211,BTC 4h Bull Gated Alt Breakout,15908,11.9,-20.0,0.485,1.049,0.33,58.27,PROFITABLE,5501,-45.29,-49.48,0.448,0.784,-0.93,61.12,REJECT
212,BTC Low-Vol Calm Alt Breakout,19981,4.17,-26.03,0.479,1.018,0.15,73.19,PROFITABLE,6637,-9.0,-7.12,0.491,0.952,-0.24,73.74,REJECT
213,BTC 24h Surge Alt Momentum Follow,5423,-44.06,-134.75,0.411,0.849,-0.57,19.86,REJECT,1222,6.06,-37.18,0.471,1.032,0.07,13.58,PROFITABLE
214,BTC 6% Overextension Alt Fade,595,-65.43,131.8,0.58,0.793,-0.3,2.18,REJECT,264,78.05,90.34,0.606,1.84,0.61,2.93,PROFITABLE
215,ETH/BTC Altseason Breakout Gating,7234,-32.49,-69.92,0.447,0.88,-0.61,26.5,REJECT,1641,-97.11,-160.98,0.374,0.633,-1.36,18.23,REJECT
216,BTC Capitulation Spillover Snap,813,49.23,26.27,0.524,1.3,0.46,2.98,PROFITABLE,794,83.38,49.1,0.562,1.87,0.95,8.82,PROFITABLE
217,Alt Relative Strength in BTC Chop,3114,-72.32,-115.43,0.425,0.777,-1.3,11.41,REJECT,605,-79.69,-168.87,0.375,0.745,-0.81,6.72,REJECT
218,Alt Relative Weakness Short,4802,-14.87,-48.72,0.456,0.942,-0.19,17.59,REJECT,2499,-68.98,-85.07,0.409,0.663,-1.03,27.77,REJECT
219,BTC FR Regime Transmission,3689,-49.73,-57.98,0.436,0.827,-0.55,13.51,REJECT,1736,-159.94,-173.46,0.282,0.409,-1.93,19.29,REJECT
220,Market Breadth Gated EMA Cross,24346,-43.08,-48.22,0.454,0.824,-1.61,89.18,REJECT,7186,-10.47,1.22,0.501,0.943,-0.26,79.84,REJECT
221,Alt Market Breadth Thrust Follow,4878,0.44,-99.52,0.441,1.001,0.0,17.87,PROFITABLE,1344,-270.58,-303.48,0.289,0.339,-1.81,14.93,REJECT
222,BTC Taker Flow Spillover Follow,8675,15.94,-23.59,0.465,1.102,0.42,31.78,PROFITABLE,2072,41.73,24.49,0.535,1.424,0.98,23.02,PROFITABLE
223,BTC+Alt Dual SuperTrend Break,13493,-11.85,-53.95,0.456,0.953,-0.28,49.42,REJECT,4323,-57.26,-51.57,0.437,0.729,-1.16,48.03,REJECT
224,BTC Macro 100d Filter MA Cross,15959,-28.93,-71.64,0.432,0.876,-0.85,58.46,REJECT,9772,9.42,0.44,0.501,1.057,0.27,108.58,PROFITABLE
225,Beta-Residual Breakout Long,9115,-24.81,-96.22,0.428,0.917,-0.57,33.39,REJECT,2086,-67.86,-116.82,0.39,0.747,-1.33,23.18,REJECT
226,BTC Dump Rebound Leader,1308,199.82,127.2,0.573,1.95,0.95,4.79,PROFITABLE,950,66.02,-19.29,0.479,1.48,0.54,10.56,PROFITABLE
227,High Alt Dispersion Breakout,3347,51.66,-7.32,0.493,1.217,0.6,12.26,PROFITABLE,1077,-77.71,-46.02,0.447,0.7,-0.74,11.97,REJECT
228,Weekend Alt Momentum Breakout,6518,30.19,-5.41,0.496,1.13,0.54,23.88,PROFITABLE,2222,18.75,14.27,0.517,1.11,0.28,24.69,PROFITABLE
229,BTC OI Inflow Alt Breakout,2321,-8.04,-65.6,0.457,0.973,-0.06,8.5,REJECT,193,-341.5,-456.86,0.249,0.172,-1.26,2.14,REJECT
230,BTC Bull + Alt Break + SL/TP,2723,-7.07,-320.0,0.369,0.963,-0.13,9.97,REJECT,198,-197.78,-320.0,0.146,0.233,-1.6,2.2,REJECT
231,Hybrid: Taker Surge+ATR+BTC Bull,216,87.6,61.8,0.551,1.674,1.5,0.79,PASS_TRAIN,220,-92.96,-76.15,0.373,0.502,-2.5,2.44,REJECT
232,Hybrid: TT Long+Vol+4h Break,4030,-15.3,-80.04,0.433,0.943,-0.26,14.76,REJECT,1030,-89.28,-133.86,0.376,0.658,-1.43,11.44,REJECT
233,Hybrid: 1d Bull+FR Discount+Break,2236,-34.17,-71.65,0.452,0.884,-0.65,8.19,REJECT,155,-115.43,-186.08,0.342,0.654,-1.6,1.72,REJECT
234,Hybrid: OI Flush+TT Rebound,120,1620.18,2060.59,0.783,9.922,0.95,0.44,PROFITABLE,32,230.16,195.03,0.75,7.095,2.58,0.36,PASS_VALID
235,Hybrid: FVG+4h ST+Low FR,3491,-13.01,-73.12,0.439,0.947,-0.33,12.79,REJECT,991,-68.38,-111.67,0.398,0.713,-1.13,11.01,REJECT
236,Hybrid: XS Leader 20-EMA Dip Reclaim,1657,-85.38,-134.21,0.422,0.782,-1.09,6.07,REJECT,305,-179.02,-264.27,0.305,0.507,-2.01,3.39,REJECT
237,Hybrid: Short Squeeze Triple Trigger,369,35.04,-152.77,0.404,1.09,0.48,1.35,PROFITABLE,137,-101.48,-176.04,0.321,0.699,-1.56,1.52,REJECT
238,Hybrid: Trend Dip + Dynamic SL/TP,379,-0.86,-270.0,0.409,0.994,-0.02,1.39,REJECT,62,-18.98,-270.0,0.339,0.881,-0.43,0.69,REJECT
239,Hybrid: Vol + OI Dual Confirmation,2767,7.57,-118.04,0.422,1.022,0.11,10.14,PROFITABLE,717,-115.87,-230.74,0.346,0.661,-2.03,7.97,REJECT
240,Hybrid: CMF Flow + 4h ST Cross,8038,-45.77,-56.18,0.449,0.815,-1.48,29.44,REJECT,2642,-43.35,-7.32,0.489,0.762,-1.39,29.36,REJECT
241,Hybrid: Keltner Break + ADX>25,23125,-5.59,-33.34,0.472,0.977,-0.2,84.71,REJECT,8073,-23.2,-20.0,0.448,0.879,-0.72,89.7,REJECT
242,Hybrid: Smart Money Long Divergence,1905,22.72,-23.65,0.477,1.117,0.47,6.98,PROFITABLE,509,-63.99,-59.84,0.415,0.682,-1.12,5.66,REJECT
243,Hybrid: High-Beta Alt + BTC Protection,5866,-8.24,-64.92,0.449,0.972,-0.12,21.49,REJECT,1317,-111.27,-179.96,0.38,0.619,-1.24,14.63,REJECT
244,Hybrid: Donchian + ATR SL/TP (2:4),20180,-21.43,-220.0,0.333,0.853,-2.0,73.92,REJECT,3852,-35.04,-220.0,0.312,0.768,-1.52,42.8,REJECT
245,Hybrid: 3-of-4 Confluence Consensus,17986,-64.02,-66.76,0.438,0.756,-2.06,65.88,REJECT,4400,-101.98,-159.73,0.34,0.593,-1.94,48.89,REJECT
246,Hybrid: Multi-Factor Composite >=4.0,14288,-42.92,-71.89,0.44,0.837,-1.3,52.34,REJECT,4082,-80.73,-118.51,0.382,0.648,-1.88,45.36,REJECT
247,Hybrid: Multi-Factor + BTC Bull Gate,12029,-29.54,-57.96,0.45,0.883,-0.77,44.06,REJECT,2723,-118.55,-172.23,0.342,0.537,-1.91,30.26,REJECT
248,Hybrid: Regime-Switching Dual Arm,11265,-9.59,-29.73,0.466,0.956,-0.31,41.26,REJECT,3169,-60.86,-64.57,0.419,0.715,-1.54,35.21,REJECT
249,Hybrid: Conviction Breakout + SL/TP,212,9.98,-70.44,0.462,1.08,0.37,0.78,PROFITABLE,70,10.74,-47.44,0.471,1.09,0.19,0.78,PROFITABLE
250,Master MTF 1d/4h/1h Consensus,5024,-64.06,-84.02,0.405,0.733,-1.68,18.4,REJECT,3835,-13.15,-5.99,0.495,0.926,-0.29,42.61,REJECT
251,DualSq 1.5x Keltner mult=1.0 H=12,4225,15.78,5.58,0.509,1.1,0.71,15.48,PROFITABLE,1667,53.08,15.64,0.531,1.529,1.0,18.52,PROFITABLE
252,DualSq 1.5x Keltner mult=1.0 H=24,3758,34.18,8.54,0.508,1.153,1.07,13.77,PROFITABLE,1455,65.3,37.97,0.54,1.452,1.05,16.17,PROFITABLE
253,DualSq 1.5x Keltner mult=1.0 H=36,3411,59.58,10.7,0.508,1.212,1.39,12.49,PROFITABLE,1300,25.55,37.23,0.538,1.134,0.53,14.44,PROFITABLE
254,DualSq 1.5x Keltner mult=1.25 H=12,3188,28.43,12.62,0.52,1.183,1.08,11.68,PROFITABLE,1316,61.59,9.02,0.518,1.625,0.93,14.62,PROFITABLE
255,DualSq 1.5x Keltner mult=1.25 H=24,2996,51.96,32.84,0.523,1.246,1.42,10.97,PROFITABLE,1212,34.98,22.02,0.521,1.223,0.57,13.47,PROFITABLE
256,DualSq 1.5x Keltner mult=1.25 H=36,2780,82.56,29.04,0.518,1.311,1.65,10.18,PASS_TRAIN,1111,-11.78,6.56,0.509,0.943,-0.22,12.34,REJECT
257,DualSq 1.5x Keltner mult=1.5 H=12,2166,54.08,35.38,0.544,1.359,1.64,7.93,PASS_TRAIN,989,56.75,-4.79,0.487,1.535,0.73,10.99,PROFITABLE
258,DualSq 1.5x Keltner mult=1.5 H=24,2104,64.89,40.87,0.533,1.312,1.54,7.71,PASS_TRAIN,951,2.99,-4.79,0.497,1.018,0.05,10.57,PROFITABLE
259,DualSq 1.5x Keltner mult=1.5 H=36,2009,96.0,51.09,0.53,1.378,1.73,7.36,PASS_TRAIN,882,-61.83,-32.85,0.458,0.724,-1.01,9.8,REJECT
260,DualSq 1.5x Keltner mult=1.75 H=12,1317,61.04,63.09,0.582,1.387,1.5,4.82,PASS_TRAIN,629,27.56,-11.9,0.471,1.231,0.44,6.99,PROFITABLE
261,DualSq 1.5x Keltner mult=1.75 H=24,1304,65.25,70.22,0.552,1.308,1.36,4.78,PROFITABLE,623,-42.51,-50.51,0.453,0.777,-0.78,6.92,REJECT
262,DualSq 1.5x Keltner mult=1.75 H=36,1262,90.3,83.62,0.541,1.348,1.37,4.62,PROFITABLE,595,-100.51,-82.37,0.4,0.602,-1.23,6.61,REJECT
263,DualSq 1.5x Keltner mult=2.0 H=12,798,63.18,72.0,0.584,1.375,1.21,2.92,PROFITABLE,378,-7.6,-27.49,0.442,0.937,-0.16,4.2,REJECT
264,DualSq 1.5x Keltner mult=2.0 H=24,796,55.43,74.19,0.554,1.253,0.96,2.92,PROFITABLE,375,-95.46,-92.83,0.4,0.563,-1.51,4.17,REJECT
265,DualSq 1.5x Keltner mult=2.0 H=36,789,90.08,111.51,0.553,1.338,1.17,2.89,PROFITABLE,355,-146.51,-122.67,0.369,0.521,-1.15,3.94,REJECT
266,DualSq + 4h 50EMA Bull H=18,1326,143.27,116.97,0.608,1.933,2.47,4.86,PASS_TRAIN,674,88.29,40.82,0.547,1.754,0.86,7.49,PROFITABLE
267,DualSq + 4h 50EMA Bull H=24,1298,120.54,94.89,0.579,1.668,2.41,4.75,PASS_TRAIN,663,26.24,11.86,0.513,1.164,0.34,7.37,PROFITABLE
268,DualSq + 1d 100SMA Bull H=18,1145,148.01,119.47,0.609,2.014,2.27,4.19,PASS_TRAIN,677,83.57,43.43,0.554,1.743,0.81,7.52,PROFITABLE
269,DualSq + 1d 100SMA Bull H=24,1119,121.98,107.03,0.587,1.699,2.19,4.1,PASS_TRAIN,665,30.89,44.39,0.549,1.207,0.39,7.39,PROFITABLE
270,DualSq + BTC 4h Bull Gate H=18,1257,142.72,104.94,0.605,1.877,2.13,4.6,PASS_TRAIN,607,55.92,-4.25,0.493,1.394,0.48,6.74,PROFITABLE
271,DualSq + BTC 4h Bull Gate H=24,1237,140.14,90.7,0.578,1.758,2.16,4.53,PASS_TRAIN,598,14.43,13.73,0.513,1.082,0.16,6.64,PROFITABLE
272,DualSq + Dual 4h + BTC Bull Gate H=18,1280,157.41,126.5,0.621,2.117,2.63,4.69,PASS_TRAIN,696,77.3,39.99,0.543,1.639,0.77,7.73,PROFITABLE
273,DualSq + Dual 4h + BTC Bull Gate H=24,1254,140.88,114.14,0.592,1.843,2.71,4.59,PASS_TRAIN,688,27.27,41.93,0.544,1.172,0.34,7.64,PROFITABLE
274,DualSq + 1d+4h Macro Bull H=18,1180,132.69,115.62,0.604,1.874,2.07,4.32,PASS_TRAIN,689,94.68,53.03,0.565,1.881,0.93,7.66,PROFITABLE
275,DualSq + 1d+4h Macro Bull H=24,1154,111.75,106.27,0.581,1.623,2.02,4.23,PASS_TRAIN,677,43.64,53.21,0.561,1.303,0.55,7.52,PROFITABLE
276,DualSq + Vol>1.2x H=18,1755,96.09,68.34,0.565,1.548,2.02,6.43,PASS_TRAIN,835,28.17,9.91,0.511,1.205,0.45,9.28,PROFITABLE
277,DualSq + Vol>1.2x H=24,1730,66.51,57.23,0.539,1.321,1.56,6.34,PASS_TRAIN,824,-23.64,-33.54,0.473,0.869,-0.41,9.16,REJECT
278,DualSq + Vol>1.5x H=18,1450,102.4,73.17,0.57,1.592,2.07,5.31,PASS_TRAIN,720,16.91,13.92,0.517,1.119,0.32,8.0,PROFITABLE
279,DualSq + Vol>1.5x H=24,1431,64.8,62.31,0.544,1.31,1.46,5.24,PROFITABLE,709,-34.07,-46.57,0.458,0.818,-0.64,7.88,REJECT
280,DualSq + Vol>2.0x H=18,1007,92.58,79.14,0.569,1.506,1.74,3.69,PASS_TRAIN,535,-11.7,-6.17,0.493,0.924,-0.26,5.94,REJECT
281,DualSq + Vol>2.0x H=24,998,53.72,68.8,0.543,1.249,1.09,3.66,PROFITABLE,528,-60.12,-68.33,0.428,0.704,-1.12,5.87,REJECT
282,DualSq + Vol>2.5x H=18,696,82.69,89.89,0.572,1.41,1.34,2.55,PROFITABLE,389,-33.73,-32.0,0.47,0.798,-0.68,4.32,REJECT
283,DualSq + Vol>2.5x H=24,694,35.45,71.47,0.549,1.153,0.66,2.54,PROFITABLE,385,-91.25,-115.95,0.377,0.595,-1.54,4.28,REJECT
284,DualSq + Vol>3.0x H=18,459,91.24,100.87,0.571,1.424,1.2,1.68,PROFITABLE,286,-55.85,-74.06,0.43,0.689,-0.96,3.18,REJECT
285,DualSq + Vol>3.0x H=24,458,49.26,87.79,0.555,1.207,0.8,1.68,PROFITABLE,283,-113.8,-133.3,0.35,0.527,-1.68,3.14,REJECT
286,DualSq + Taker>55% H=18,1016,98.62,79.97,0.582,1.628,1.73,3.72,PASS_TRAIN,568,66.09,33.04,0.539,1.574,0.96,6.31,PROFITABLE
287,DualSq + Taker>55% H=24,1006,73.36,57.54,0.553,1.405,1.59,3.68,PASS_TRAIN,561,29.04,44.39,0.544,1.193,0.46,6.23,PROFITABLE
288,DualSq + Taker>60% H=18,291,120.59,74.22,0.584,1.919,1.53,1.07,PASS_TRAIN,234,52.74,31.98,0.526,1.43,0.82,2.6,PROFITABLE
289,DualSq + Taker>60% H=24,288,102.18,45.33,0.559,1.686,1.63,1.05,PASS_TRAIN,233,18.82,55.44,0.571,1.121,0.28,2.59,PROFITABLE
290,DualSq + Taker>65% H=18,59,217.13,105.79,0.678,4.529,2.37,0.22,PASS_TRAIN,72,40.51,-10.09,0.472,1.373,0.67,0.8,PROFITABLE
291,DualSq + Taker>65% H=24,58,237.51,169.39,0.69,4.69,2.5,0.21,PASS_TRAIN,72,103.29,80.25,0.597,1.949,1.44,0.8,PROFITABLE
292,DualSq + Taker>70% H=18,12,106.59,40.04,0.5,3.976,1.24,0.04,PROFITABLE,17,57.63,-65.51,0.412,1.502,0.51,0.19,PROFITABLE
293,DualSq + Taker>70% H=24,12,106.5,16.71,0.5,4.008,1.25,0.04,PROFITABLE,17,169.68,62.99,0.588,3.631,1.2,0.19,PROFITABLE
294,DualSq + Taker>75% H=18,3,48.46,104.94,0.667,2.126,0.53,0.01,PROFITABLE,7,35.63,101.37,0.571,1.394,0.33,0.08,PROFITABLE
295,DualSq + Taker>75% H=24,3,120.82,98.48,0.667,5.461,0.98,0.01,PROFITABLE,7,127.85,119.55,0.857,3.553,1.17,0.08,PROFITABLE
296,BBW LB=168 pinch=1.05 Break,2268,-28.12,-27.17,0.474,0.88,-0.61,8.31,REJECT,800,-26.4,-2.41,0.495,0.836,-0.65,8.89,REJECT
297,BBW LB=168 pinch=1.15 Break,3882,-29.57,-27.54,0.473,0.874,-0.7,14.22,REJECT,1355,-22.96,-6.67,0.491,0.86,-0.61,15.06,REJECT
298,BBW LB=168 pinch=1.25 Break,5130,-29.69,-27.76,0.474,0.875,-0.75,18.79,REJECT,1806,-25.31,-17.53,0.481,0.849,-0.71,20.07,REJECT
299,BBW LB=336 pinch=1.05 Break,1267,-41.98,-39.9,0.446,0.825,-0.72,4.64,REJECT,493,7.6,13.69,0.525,1.051,0.17,5.48,PROFITABLE
300,BBW LB=336 pinch=1.15 Break,2279,-39.1,-35.29,0.455,0.835,-0.73,8.35,REJECT,837,-1.81,13.11,0.516,0.988,-0.04,9.3,REJECT
301,BBW LB=336 pinch=1.25 Break,3189,-33.07,-30.99,0.464,0.857,-0.68,11.68,REJECT,1166,-7.42,9.46,0.514,0.954,-0.17,12.96,REJECT
302,BBW LB=720 pinch=1.05 Break,653,-33.23,-34.72,0.452,0.85,-0.57,2.39,REJECT,256,28.01,60.84,0.574,1.21,0.55,2.84,PROFITABLE
303,BBW LB=720 pinch=1.15 Break,1227,-4.67,-24.9,0.465,0.978,-0.09,4.49,REJECT,457,0.07,43.08,0.549,1.001,0.0,5.08,PROFITABLE
304,BBW LB=720 pinch=1.25 Break,1881,-9.56,-20.0,0.473,0.954,-0.19,6.89,REJECT,667,-2.02,14.6,0.519,0.987,-0.04,7.41,REJECT
305,BBW Compression Variant 305,1922,1.58,-4.82,0.493,1.009,0.03,7.04,PROFITABLE,677,38.75,57.88,0.594,1.339,0.92,7.52,PROFITABLE
306,ATR Ratio 14/72 <0.65 Break,89,14.18,-16.11,0.472,1.063,0.17,0.33,PROFITABLE,60,-89.46,-16.53,0.467,0.546,-1.32,0.67,REJECT
307,ATR Ratio 14/72 <0.7 Break,235,-57.93,-104.61,0.383,0.796,-0.8,0.86,REJECT,214,-110.9,-111.52,0.336,0.516,-1.14,2.38,REJECT
308,ATR Ratio 14/72 <0.75 Break,543,-17.32,-71.42,0.425,0.93,-0.33,1.99,REJECT,468,-166.03,-119.25,0.316,0.346,-2.02,5.2,REJECT
309,ATR Ratio 14/72 <0.8 Break,967,-59.18,-85.28,0.414,0.781,-1.17,3.54,REJECT,797,-157.87,-146.92,0.331,0.394,-2.02,8.86,REJECT
310,ATR Ratio 14/72 <0.85 Break,1662,-80.84,-99.41,0.406,0.709,-1.73,6.09,REJECT,1145,-136.96,-140.07,0.352,0.472,-1.83,12.72,REJECT
311,ATR Ratio 14/168 <0.65 Break,396,-7.7,-24.13,0.487,0.969,-0.1,1.45,REJECT,321,-112.36,-95.01,0.361,0.497,-1.79,3.57,REJECT
312,ATR Ratio 14/168 <0.7 Break,735,-58.36,-80.74,0.426,0.787,-0.97,2.69,REJECT,633,-184.89,-185.31,0.284,0.316,-2.28,7.03,REJECT
313,ATR Ratio 14/168 <0.75 Break,1131,-53.21,-78.45,0.422,0.796,-0.91,4.14,REJECT,998,-205.77,-207.01,0.287,0.278,-2.55,11.09,REJECT
314,ATR Ratio 14/168 <0.8 Break,1837,-63.45,-62.26,0.438,0.769,-1.19,6.73,REJECT,1256,-179.08,-156.77,0.33,0.348,-2.41,13.96,REJECT
315,ATR Ratio 14/168 <0.85 Break,2545,-64.13,-83.88,0.435,0.77,-1.28,9.32,REJECT,1417,-129.64,-128.46,0.371,0.482,-1.93,15.74,REJECT
316,HV12 Pinch exp=1.2x Break,5663,-1.48,-20.0,0.483,0.994,-0.05,20.74,REJECT,1922,0.59,9.09,0.513,1.003,0.01,21.36,PROFITABLE
317,HV12 Pinch exp=1.4x Break,1951,-13.62,-55.29,0.458,0.944,-0.39,7.15,REJECT,853,-64.36,-40.3,0.45,0.71,-1.2,9.48,REJECT
318,HV12 Pinch exp=1.6x Break,812,-37.43,-63.47,0.445,0.86,-0.78,2.97,REJECT,466,-125.69,-104.3,0.399,0.506,-1.67,5.18,REJECT
319,HV24 Pinch exp=1.2x Break,2371,7.49,-31.63,0.481,1.029,0.18,8.68,PROFITABLE,1233,-114.47,-118.99,0.379,0.515,-1.75,13.7,REJECT
320,HV24 Pinch exp=1.4x Break,491,5.58,-61.37,0.468,1.02,0.07,1.8,PROFITABLE,486,-257.6,-252.55,0.243,0.221,-1.73,5.4,REJECT
321,HV24 Pinch exp=1.6x Break,203,20.71,-79.55,0.463,1.067,0.18,0.74,PROFITABLE,278,-316.88,-347.56,0.241,0.181,-1.42,3.09,REJECT
322,HV48 Pinch exp=1.2x Break,1248,-7.98,-50.0,0.47,0.972,-0.1,4.57,REJECT,663,-173.17,-181.79,0.318,0.354,-2.24,7.37,REJECT
323,HV48 Pinch exp=1.4x Break,209,-108.27,-236.54,0.383,0.711,-0.85,0.77,REJECT,217,-85.07,-45.54,0.47,0.625,-0.65,2.41,REJECT
324,HV48 Pinch exp=1.6x Break,60,-154.15,-339.48,0.367,0.69,-0.86,0.22,REJECT,124,48.15,118.76,0.653,1.321,0.32,1.38,PROFITABLE
325,HV Variant 325,60,-127.58,-271.57,0.4,0.714,-0.76,0.22,REJECT,124,87.68,171.35,0.677,1.697,0.52,1.38,PROFITABLE
326,CHOP<32 Momentum Cross H=18,98,-76.25,-113.41,0.418,0.804,-0.66,0.36,REJECT,48,-74.62,-71.93,0.438,0.766,-0.58,0.53,REJECT
327,CHOP<32 Momentum Cross H=24,98,-55.78,-140.14,0.388,0.859,-0.47,0.36,REJECT,48,-97.92,-46.99,0.417,0.671,-0.85,0.53,REJECT
328,CHOP<35 Momentum Cross H=18,254,-79.74,-87.46,0.433,0.763,-0.95,0.93,REJECT,150,-17.07,-9.37,0.487,0.913,-0.22,1.67,REJECT
329,CHOP<35 Momentum Cross H=24,253,-103.54,-116.13,0.419,0.713,-1.23,0.93,REJECT,150,4.49,-28.87,0.467,1.022,0.05,1.67,PROFITABLE
330,CHOP<38 Momentum Cross H=18,608,-96.61,-95.41,0.408,0.694,-1.54,2.23,REJECT,365,-18.48,-14.18,0.488,0.899,-0.29,4.06,REJECT
331,CHOP<38 Momentum Cross H=24,603,-127.22,-156.55,0.38,0.638,-2.07,2.21,REJECT,363,-6.97,-45.98,0.46,0.962,-0.11,4.03,REJECT
332,CHOP<40 Momentum Cross H=18,1094,-64.74,-74.98,0.435,0.769,-1.27,4.01,REJECT,621,-26.89,-40.56,0.462,0.847,-0.5,6.9,REJECT
333,CHOP<40 Momentum Cross H=24,1085,-94.22,-116.13,0.409,0.705,-1.83,3.97,REJECT,617,-32.18,-56.55,0.444,0.829,-0.64,6.86,REJECT
334,CHOP<42 Momentum Cross H=18,1863,-49.44,-51.77,0.447,0.809,-1.09,6.82,REJECT,958,-31.87,-40.89,0.457,0.821,-0.67,10.64,REJECT
335,CHOP<42 Momentum Cross H=24,1838,-87.76,-104.18,0.418,0.713,-1.8,6.73,REJECT,948,-38.65,-46.27,0.457,0.801,-0.86,10.53,REJECT
336,DualSq SL=1.5% TP=3.0% H=24,2387,7.95,-170.0,0.403,1.08,0.66,8.74,PROFITABLE,1064,8.02,-170.0,0.401,1.08,0.32,11.82,PROFITABLE
337,DualSq SL=1.5% TP=3.0% H=36,2384,9.07,-170.0,0.401,1.09,0.73,8.73,PROFITABLE,1062,9.58,-170.0,0.399,1.095,0.39,11.8,PROFITABLE
338,DualSq SL=2.0% TP=4.0% H=24,2311,26.14,-220.0,0.428,1.221,1.4,8.47,PROFITABLE,1042,6.37,-220.0,0.397,1.05,0.19,11.58,PROFITABLE
339,DualSq SL=2.0% TP=4.0% H=36,2304,28.96,-220.0,0.422,1.236,1.5,8.44,PASS_TRAIN,1036,6.93,-220.0,0.387,1.053,0.2,11.51,PROFITABLE
340,DualSq SL=2.5% TP=5.0% H=24,2277,42.14,-115.58,0.451,1.31,1.67,8.34,PASS_TRAIN,1027,10.15,-203.7,0.411,1.07,0.26,11.41,PROFITABLE
341,DualSq SL=2.5% TP=5.0% H=36,2266,49.22,-270.0,0.443,1.345,1.85,8.3,PASS_TRAIN,1015,7.05,-270.0,0.4,1.046,0.18,11.28,PROFITABLE
342,DualSq SL=3.0% TP=6.0% H=24,2242,55.98,-56.66,0.47,1.374,1.88,8.21,PASS_TRAIN,1009,15.76,-111.12,0.43,1.103,0.31,11.21,PROFITABLE
343,DualSq SL=3.0% TP=6.0% H=36,2224,65.9,-146.83,0.456,1.411,2.08,8.15,PASS_TRAIN,992,8.91,-228.99,0.417,1.053,0.17,11.02,PROFITABLE
344,DualSq SL=3.5% TP=7.0% H=24,2207,67.14,-31.68,0.482,1.415,2.06,8.08,PASS_TRAIN,998,19.03,-75.2,0.448,1.12,0.33,11.09,PROFITABLE
345,DualSq SL=3.5% TP=7.0% H=36,2182,77.69,-82.03,0.467,1.439,2.22,7.99,PASS_TRAIN,974,7.6,-131.26,0.425,1.042,0.12,10.82,PROFITABLE
346,Squeeze False Break Fade H=12,39933,-31.02,-15.7,0.481,0.824,-2.11,146.27,REJECT,12299,-20.37,0.58,0.501,0.85,-1.11,136.66,REJECT
347,Squeeze False Break Fade H=18,32698,-20.31,-8.41,0.491,0.904,-1.03,119.77,REJECT,10287,-23.81,-13.2,0.484,0.859,-1.02,114.3,REJECT
348,Squeeze False Break Fade H=24,27595,-24.32,-1.14,0.499,0.9,-1.1,101.08,REJECT,8554,-13.03,-10.98,0.487,0.93,-0.47,95.04,REJECT
349,Squeeze False Break Fade H=30,23864,-23.89,9.17,0.508,0.911,-0.95,87.41,REJECT,7491,-20.46,-21.0,0.475,0.902,-0.61,83.23,REJECT
350,Squeeze False Break Fade H=36,21032,-34.3,3.75,0.503,0.885,-1.22,77.04,REJECT,6679,-0.58,-20.0,0.478,0.997,-0.01,74.21,REJECT
351,Taker Persist 2b >57% H=18,8247,3.15,-9.96,0.489,1.019,0.15,30.21,PROFITABLE,4277,6.55,0.28,0.502,1.046,0.29,47.52,PROFITABLE
352,Taker Persist 2b >57% H=24,7659,4.88,-19.17,0.477,1.025,0.19,28.05,PROFITABLE,3877,5.97,16.99,0.521,1.036,0.23,43.08,PROFITABLE
353,Taker Persist 2b >62% H=18,1544,-5.2,-17.73,0.477,0.965,-0.25,5.66,REJECT,1223,30.37,14.34,0.515,1.252,1.21,13.59,PROFITABLE
354,Taker Persist 2b >62% H=24,1497,3.26,-20.0,0.474,1.019,0.12,5.48,PROFITABLE,1168,18.87,12.0,0.519,1.134,0.67,12.98,PROFITABLE
355,Taker Persist 2b >66% H=18,250,-4.92,-11.59,0.48,0.965,-0.16,0.92,REJECT,344,35.79,4.31,0.506,1.302,1.16,3.82,PROFITABLE
356,Taker Persist 2b >66% H=24,245,20.23,-11.74,0.473,1.133,0.56,0.9,PROFITABLE,329,20.19,9.73,0.517,1.141,0.58,3.66,PROFITABLE
